unique_location,count(nik),koordinat
JAWA BARAT_TASIKMALAYA_CIBEUREUM_CIAKAR,4643,"(-7.363199999999949, 108.27085000000005, 'Ciakar, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_CIHERANG,5845,"(-7.357059999999933, 108.27207000000004, 'Ciherang, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_KERSANAGARA,6121,"(-7.366309999999942, 108.24337000000008, 'Kersanagara, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_KOTA BARU,9656,"(-7.357149999999933, 108.25870000000003, 'Kotabaru, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_MARGABAKTI,2742,"(-7.35391999999996, 108.28118000000006, 'Margabakti, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_SETIAJAYA,4729,"(-7.3499199999999405, 108.23600000000005, 'Setiajaya, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_SETIANAGARA,3724,"(-7.343959999999981, 108.25828000000007, 'Setianagara, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_INDRAMAYU_WIDASARI_UJUNGPONDOKJAYA,1620,"(-6.447819999999979, 108.28705000000008, 'Ujungpendokjaya, Widasari, Jawa Barat')"
JAWA BARAT_KARAWANG_BANYUSARI_KUTARAHARJA,2661,"(-6.299819999999954, 107.49442000000005, 'Kutaraharja, Banyusari, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_CIPAISAN,8204,"(-6.550359999999955, 107.43810000000008, 'Cipaisan, Purwakarta, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_CISEUREUH,22819,"(-6.519999999999925, 107.46198000000004, 'Ciseureuh, Purwakarta, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_CIGADUNG,14933,"(-6.563229999999976, 107.75326000000007, 'Cigadung, Subang, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_DANGDEUR,10788,"(-6.5458999999999605, 107.73544000000004, 'Dangdeur, Subang, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_KARANGANYAR,16588,"(-6.568779999999947, 107.75967000000009, 'Karanganyar, Subang, Jawa Barat')"
